"Category","Reviews","Installs","Size","Price","Content.Rating"
2,2218,7,194,13,2
2,10420,16,194,34,2
2,624,7,106,34,2
2,15291,1,194,34,2
2,201658,3,147,34,2
2,9321,1,194,34,2
2,21675,1,194,34,5
2,16822,16,149,34,2
2,301071,3,194,34,2
2,79411,1,69,34,2
2,2494,16,80,34,3
2,14645,16,186,34,2
2,20657,7,171,13,2
2,2216,16,11,34,2
2,7730,16,91,34,2
2,1950,7,70,34,2
2,16805,1,187,34,2
2,805620,3,194,34,2
2,21675,1,103,34,2
2,224,13,194,34,5
2,143388,9,98,34,2
2,33801,1,194,34,2
2,4748,7,86,34,2
2,545706,3,194,34,2
2,172100,3,114,34,2
2,405950,3,194,34,5
2,19047,1,82,34,2
2,15910,1,194,34,2
2,8769,1,74,34,5
2,6640,16,110,34,2
2,682644,12,15,34,2
2,6978,1,93,34,2
2,5479,1,101,34,2
2,44558,3,194,34,2
2,18616,1,194,34,2
2,166725,9,194,34,2
2,30002,1,110,34,4
2,345,13,194,34,5
2,628,13,86,34,3
2,74861,9,62,34,2
2,80285,1,194,34,2
2,118027,9,194,34,2
2,5823,16,39,34,2
2,13534,1,139,34,5
2,26140,1,40,34,2
2,4824180,6,194,34,2
2,59330,1,70,34,2
2,53280,1,38,34,2
2,337285,3,194,34,2
2,637363,3,25,34,2
2,124159,9,22,34,2
2,22093,1,70,34,5
2,4869,1,18,34,2
2,2908,16,41,34,3
2,93709,9,194,34,2
2,1302,7,62,34,2
2,33135,1,127,34,2
2,42082,1,139,34,2
2,101090,3,16,34,2
2,3,2,17,34,2
2,7,2,20,34,2
2,6,2,19,34,2
2,128,13,61,34,2
2,12,4,25,34,2
2,45,4,18,34,2
2,272,7,23,34,2
2,16,2,23,34,2
2,17481,7,74,21,2
2,15453,1,194,34,2
2,92394,9,74,34,2
2,218186,1,194,21,2
2,122673,9,194,34,2
2,25780,7,23,4,2
2,17562,1,194,34,2
2,16656,7,74,21,2
2,29925,1,194,34,2
2,50061,1,180,34,2
2,14083,7,194,4,2
2,9076,7,23,4,2
2,3552,7,23,4,2
2,15380,7,23,4,2
2,82072,1,23,34,2
2,1,5,69,34,2
3,153,13,150,34,2
3,3820,7,15,34,2
2,235,4,31,34,2
3,9,17,178,34,2
2,57,2,108,34,2
2,9110,7,160,34,2
2,1,17,42,34,2
2,37843,16,53,34,2
2,17612,1,19,34,2
2,75449,1,49,34,2
2,43553,1,46,34,2
2,74,4,61,34,2
2,667,4,161,34,2
3,29306,1,68,34,2
3,4156,7,194,34,2
3,1,8,69,13,2
3,1,8,6,34,2
3,477,13,16,34,2
3,5,2,6,34,2
3,2,2,3,34,2
3,2,2,4,34,2
3,11,2,7,34,2
3,63,4,6,34,2
3,42,4,6,34,2
2,316,13,179,34,2
2,41,10,59,34,2
2,2007,7,59,34,2
2,14419,1,84,34,2
2,3947,16,85,34,2
2,20323,1,85,34,2
2,97,10,59,34,2
2,221,4,76,34,2
3,173,13,99,34,2
2,463,13,138,34,2
2,343464,3,194,34,2
2,3717,7,149,34,2
2,78,10,68,34,2
2,948,4,38,34,2
2,300,4,23,34,2
2,4815,16,19,34,2
3,110,4,84,34,4
2,8,17,19,34,2
2,43,10,111,34,2
2,2629,7,134,34,2
2,431,4,15,34,2
2,34615,1,16,34,2
2,22089,1,16,34,4
2,876,13,34,34,2
2,64323,9,49,34,5
2,501291,3,17,34,2
2,151687,3,19,34,2
2,98020,3,62,34,2
2,2978,7,185,34,2
3,1,8,62,34,2
3,12,2,64,34,2
3,6,2,48,34,2
3,5,17,49,34,2
2,3116,7,106,34,2
3,462,4,116,12,2
2,144,4,27,34,2
2,8376,1,126,34,2
2,7743,7,16,34,2
2,48642,1,106,34,2
2,109,4,112,34,5
2,18395,1,194,34,5
2,730,13,48,34,2
2,1029,7,182,34,2
2,315,7,19,34,2
2,613,13,42,34,2
2,3115,7,87,34,2
