"","Reviews","Size","Price","Last.Updated","Minimum.Android.Version","install","Content"
"239",112484,25.2706629055007,0,32,4,5000000,0
"240",1269,27,0,32,5,100000,0
"241",37,6.2,0,33,4,10000,0
"242",2014,11,0,35,4,100000,0
"243",13861,23,0,33,4,1000000,0
"244",2204,14,0,33,4,100000,0
"245",14969,6.8,0,34,4,1000000,0
"246",17129,14,3.49,33,4,100000,0
"247",33117,3.6,0,44,4,500000,0
"248",6658,40,0,35,4,500000,0
"249",9497,94,0,39,4,100000,0
"250",17500,10,0,33,4,1000000,0
"251",10011,40,0,34,5,1000000,0
"252",155,2.3,0,55,4,10000,0
"253",14888,34,0,58,4,500000,0
"254",2212,25.2706629055007,0,33,4,1000000,0
"255",2,74,0,33,4,100,0
"256",2,82,0,33,4,100,0
"257",42,77,0,33,4,1000,0
"258",6,75,0,33,4,500,0
"259",6,75,0,33,4,500,0
"260",572,20,0,70,4,100000,0
"261",464,37,0,35,5,50000,0
"262",870,41,0,35,5,100000,0
"263",316,47,0,33,5,10000,0
"264",1407,36,0,40,5,100000,0
"265",3587,27,0,33,4,100000,0
"266",8025,25,0,33,5,100000,0
"267",1058,11,0,34,4,50000,0
"268",11251,37,0,33,4,1000000,0
"269",198063,25.2706629055007,0,33,4.14285714285714,10000000,0
"270",3246,28,0,65,3,500000,0
"271",231,17,4.99,85,2,5000,0
"272",47,29,0,89,2,5000,0
"273",38,27,4.99,96,3,1000,0
"274",16746,13,0,33,4,1000000,0
"275",302,1.8,0,40,4,10000,0
"276",31,194,0,98,1,5000,0
"277",29401,22,0,32,4,1000000,0
"278",16516,26,0,35,4,1000000,0
"279",2,11,0,39,4,100,0
"280",7492,26,0,33,5,100000,0
"281",11725,56,0,33,4,500000,0
"282",9148,7.1,0,43,4,1000000,0
"283",5520,7.1,0,33,5,100000,0
"284",14265,84,0,33,5,1000000,0
"285",8688,63,0,33,5,1000000,0
"286",4,7.2,0,39,4,500,0
"287",21103,10,0,38,4,500000,0
"288",63857,19,0,34,4,1000000,0
"289",181,8.3,0,35,4,10000,0
"290",97,60,0,34,4,5000,0
"291",392,30,0,32,4,100000,0
"292",11091,26,0,33,4,100000,0
"293",6139,25.2706629055007,0,51,4.14285714285714,1000000,0
"294",583,32,0,34,8,100000,0
"295",65,18,0,33,4,10000,0
"296",4545,44,0,78,3,100000,0
"297",2111,2.4,0,34,4,10000,0
"298",4639,7.5,0,33,5,100000,0
"299",3106,7.4,0,33,4,500000,0
"300",6757,3.6,0,33,5,100000,0
"301",6691,13,0,33,5,100000,0
"302",735,12,2,33,5,5000,0
"303",8883,7.1,0,33,4,100000,0
"304",3468,25.2706629055007,0,34,4.14285714285714,500000,0
"305",5756,25.2706629055007,0,34,4.14285714285714,100000,0
"306",36019,43,0,33,5,1000000,1
"307",2749,24,0,33,4,100000,0
"308",265,46,0,34,5,10000,0
"309",339763,11,0,37,4,10000000,0
"310",66200,8.3,0,37,5,1000000,0
"311",154739,12,0,66,4,10000000,0
"312",7,63,0,57,4,1000,0
"313",154166,9.9,0,33,4,10000000,0
"314",177988,15,0,33,4,5000000,2
"315",33104,14,0,36,4,5000000,1
"316",24,27,0,33,4,50000,0
"317",71,8.9,0,35,4,100000,0
"318",74874,25.2706629055007,0,34,4.14285714285714,1000000,0
"319",6697,34,0,41,4,100000,0
"320",3499,3.6,0,33,5,100000,0
"321",23,41,0,50,4,5000,0
"322",189,16,0,33,2,10000,0
"323",28,24,0,33,4,100,0
"324",239,12,0,33,4,50000,0
"325",728,22,0,34,5,10000,0
"326",5633,25.2706629055007,0,34,5,100000,0
"327",768,15,4.49,34,4,10000,0
"328",305,27,4.99,37,4,10000,0
"329",1385,23,0,38,4,100000,0
"330",2287,6.3,0,36,4,100000,1
"331",1517,40,0,34,5,100000,0
"332",1995,13,0,35,4,500000,0
"333",6,20,0,35,4,5000,0
"334",127,13,0,34,4,50000,0
"335",28,11,0,42,4,10000,0
"336",495,2.4,0,37,6,100000,0
"337",1156,13,0,33,4,100000,0
"338",13,12,0,36,4,1000,0
"339",1044,9.2,0,34,4,50000,0
"340",6,11,0,36,4,5000,0
"341",86,13,0,36,4,50000,0
"342",19087,59,0,33,4,1000000,0
"343",17293,25.2706629055007,0,33,5,1000000,0
"344",304,2.4,0,36,4,5000,0
"345",2438,4.4,0,33,4,100000,0
"346",6656,20,0,32,4.14285714285714,1000000,0
"347",260,18,0,33,5,10000,0
"348",1319,32,0,33,4,50000,0
"349",4239,29,0,33,5,50000,0
"350",9087,16,5.99,33,4,50000,0
"351",110,30,0,34,4,1000,0
"352",2387,3.7,0,32,5,100000,0
"353",4177,15,0,33,4,100000,0
"354",3201,24,0,33,4,100000,0
"355",2398,19,0,33,4,100000,0
"356",4709,25.2706629055007,0,51,4.14285714285714,500000,0
"357",1418,25.2706629055007,0,33,4.14285714285714,100000,0
"358",12927,29,0,33,5,1000000,0
"359",290,6.3,0,36,4,50000,0
"360",8,2.4,0,37,6,1000,0
"361",38,46,0,33,4,5000,0
