,App_Names,Reviews,Size,Price,Last Updated,Minimum Android Version,install,Content
21,Runtastic Running App: Run & Mileage Tracker,874924,25.270662905500703,0.0,33,4.142857142857143,10000000,0
22,Lose Belly Fat in 30 Days - Flat Stomach,144659,10.0,0.0,33,4.0,10000000,0
23,Plant Nanny - Water Reminder,254816,42.0,0.0,69,4.0,1000000,0
122,21-Day Meditation Experience,12120,17.0,0.0,33,4.0,500000,0
123,Relax Melodies: Sleep Sounds,259651,81.0,0.0,33,5.0,10000000,0
124,"Calm - Meditate, Sleep, Relax",138681,25.270662905500703,0.0,33,4.142857142857143,10000000,0
125,Step Counter - Pedometer Free & Calorie Counter,202717,5.1,0.0,33,4.0,10000000,0
126,Daily Workouts - Exercise Fitness Routine Trainer,136264,30.0,0.0,38,4.0,10000000,0
127,Meditation Studio,1199,29.0,3.99,34,4.0,10000,0
128,Fabulous: Self Care,225138,36.0,0.0,34,4.0,5000000,0
129,Progression Workout Tracker,3249,6.3,0.0,56,4.0,100000,0
130,Lose Weight in 30 Days,328273,9.8,0.0,33,4.0,10000000,0
131,FitNotes - Gym Workout Log,18749,2.9,0.0,46,4.0,1000000,0
132,Step Counter - Calorie Counter,5480,1.9,0.0,38,4.0,1000000,0
133,Lark - 24/7 Health Coach,4082,52.0,0.0,32,4.0,100000,0
134,Stronglifts 5x5 - Weight Lifting & Gym Workout Log,75580,25.270662905500703,0.0,32,4.142857142857143,1000000,0
135,C25Kï¿½ - 5K Running Trainer Pro,3346,49.0,2.99,34,6.0,50000,0
136,Endomondo - Running & Walking,623104,18.0,0.0,33,4.142857142857143,10000000,0
137,"Meditation Music - Relax, Yoga",60767,28.0,0.0,38,4.0,1000000,0
138,Om Meditation All-in-One!,19310,4.2,0.0,35,4.0,1000000,0
139,Six Pack in 30 Days - Abs Workout,446873,8.6,0.0,36,4.0,10000000,1
140,White Noise Lite,59314,41.0,0.0,36,4.0,1000000,0
141,7 Minute Workout,406474,25.270662905500703,0.0,34,4.142857142857143,10000000,0
142,Workout Trainer: fitness coach,100791,25.270662905500703,0.0,34,4.142857142857143,10000000,0
143,WW (formerly Weight Watchers),373411,52.0,0.0,33,5.0,10000000,0
144,Pedometer -  Step Counter Free & Calorie Burner,114756,5.3,0.0,35,4.0,10000000,0
145,Pocket Yoga,2218,25.270662905500703,2.99,72,4.142857142857143,100000,0
146,Fitwell - 30 Day Fitness Workout Diet Step Counter,10420,25.270662905500703,0.0,32,4.142857142857143,500000,0
147,Calorie Counter - Asken Diet,624,50.0,0.0,33,4.0,100000,0
148,Fooducate Healthy Weight Loss & Calorie Counter,15291,25.270662905500703,0.0,34,4.142857142857143,1000000,0
149,Run with Map My Run,201658,71.0,0.0,32,5.0,10000000,0
150,Aaptiv: #1 Audio Fitness App,9321,25.270662905500703,0.0,32,4.142857142857143,1000000,0
151,Running for Weight Loss Walking Jogging my FITAPP,21675,25.270662905500703,0.0,33,4.142857142857143,1000000,1
152,White Sound Pro,16822,73.0,0.0,40,4.0,500000,0
153,Instant Heart Rate: HR Monitor & Pulse Checker,301071,25.270662905500703,0.0,37,4.142857142857143,10000000,0
154,Sleep Cycle: sleep analysis & smart alarm clock,79411,35.0,0.0,32,4.0,1000000,0
155,10 Best Foods for You,2494,4.4,0.0,33,4.0,500000,2
156,Self Healing,14645,9.9,0.0,53,4.0,500000,0
157,Relax Meditation: Calm your Head with White Noise,20657,84.0,2.99,34,5.0,100000,0
158,Step Counter,2216,1.9,0.0,36,4.0,500000,0
159,My Chakra Meditation,7730,45.0,0.0,44,2.0,500000,0
160,Happify,1950,36.0,0.0,33,4.0,100000,0
161,Under Armour Record,16805,93.0,0.0,34,4.0,1000000,0
162,Nike Run Club,805620,25.270662905500703,0.0,33,4.142857142857143,10000000,0
163,Weight Loss Tracker - RecStyle,21675,5.7,0.0,49,4.0,1000000,0
164,MealLogger-Photo Food Journal,224,25.270662905500703,0.0,33,4.142857142857143,50000,1
165,Monitor Your Weight,143388,5.2,0.0,33,4.0,5000000,0
166,Calorie Counter & Diet Tracker,33801,25.270662905500703,0.0,45,4.142857142857143,1000000,0
167,Relaxing Sounds,4748,40.0,0.0,57,4.0,100000,0
168,Water Drink Reminder,545706,25.270662905500703,0.0,33,4.142857142857143,10000000,0
169,Noom: Health & Weight,172100,57.0,0.0,33,4.0,10000000,0
170,"Strava Training: Track Running, Cycling & Swimming",405950,25.270662905500703,0.0,32,4.142857142857143,10000000,1
171,Bike Computer - GPS Cycling Tracker,19047,4.6,0.0,35,4.0,1000000,0
172,Couch to 5K by RunDouble C25K,15910,25.270662905500703,0.0,35,4.142857142857143,1000000,0
173,RockMyRun - Best Workout Music,8769,38.0,0.0,33,4.0,1000000,1
174,Charity Miles: Walking & Running Distance Tracker,6640,53.0,0.0,35,4.0,500000,0
175,Home Workout - No Equipment,682644,10.0,0.0,33,4.0,50000000,0
176,Simply Yoga - Fitness Trainer for Workouts & Poses,6978,47.0,0.0,38,4.0,1000000,0
177,Brain Waves - Binaural Beats,5479,5.5,0.0,33,4.0,1000000,0
